Vocab,Pinyin,Meaning
掉,diào,"to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair); (used after certain verbs to express completion, fulfillment, removal etc)"
丁,Dīng,surname Ding
盯,dīng,to watch attentively; to fix one's attention on; to stare at; to gaze at
顶,dǐng,"apex; crown of the head; top; roof; most; to carry on the head; to push to the top; to go against; to replace; to substitute; to be subjected to (an aerial bombing, hailstorm etc); (slang) to ""bump"" a forum thread to raise its profile; classifier for headwear, hats, veils etc"
订,dìng,to agree; to conclude; to draw up; to subscribe to (a newspaper etc); to order
定,dìng,to set; to fix; to determine; to decide; to order
定位,dìng wèi,to orientate; to position; to categorize (as); to characterize (as); positioning; position; niche
丢,diū,to lose; to put aside; to throw
东,Dōng,surname Dong
东西,dōng xī,east and west
冬天,dōng tiān,winter
董事会,dǒng shì huì,board of directors
懂,dǒng,to understand; to comprehend
懂得,dǒng de,to understand; to know; to comprehend
动,dòng,"(of sth) to move; to set in movement; to displace; to touch; to make use of; to stir (emotions); to alter; abbr. for 动词, verb"
动力,dòng lì,motive power; force; (fig.) motivation; impetus
动手,dòng shǒu,to set about (a task); to hit; to punch; to touch
动物,dòng wù,animal
动作,dòng zuò,movement; motion; action; to act; to move
冻,dòng,to freeze; to feel very cold; aspic or jelly
栋,dòng,classifier for houses or buildings; ridgepole (old)
洞,dòng,cave; hole; zero (unambiguous spoken form when spelling out numbers)
都,Dū,surname Du
斗,Dǒu,abbr. for the Big Dipper constellation 星
斗争,dòu zhēng,a struggle; fight; battle
毒,dú,poison; to poison; poisonous; malicious; cruel; fierce; narcotics
毒品,dú pǐn,drugs; narcotics; poison
独,dú,alone; independent; single; sole; only
独立,dú lì,independent; independence; to stand alone
独特,dú tè,unique; distinctive
独自,dú zì,alone
读,dòu,comma; phrase marked by pause
读书,dú shū,to read a book; to study; to attend school
堵,dǔ,"to block up (a road, pipe etc); to stop up (a hole); (fig.) (of a person) choked up with anxiety or stress; wall (literary); (classifier for walls)"
赌,dǔ,to bet; to gamble
肚子,dù zi,belly; abdomen; stomach
度,dù,"to pass; to spend (time); measure; limit; extent; degree of intensity; degree (angles, temperature etc); kilowatt-hour; classifier for events and occurrences"
度过,dù guò,to pass; to spend (time); to survive; to get through
端,duān,end; extremity; item; port; to hold sth level with both hands; to carry; regular
短,duǎn,short; brief; to lack; weak point; fault
段,Duàn,surname Duan
断,duàn,to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely; definitely; decidedly
锻炼,duàn liàn,to toughen; to temper; to engage in physical exercise; to work out; (fig.) to develop one's skills; to train oneself
堆,duī,to pile up; to heap up; a mass; pile; heap; stack; large amount
队,duì,squadron; team; group
队伍,duì wǔ,ranks; troops; queue; line; procession
队员,duì yuán,team member
队长,duì zhǎng,captain; team leader
对,duì,right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair
对不起,duì bu qǐ,I'm sorry; excuse me; I beg your pardon; to let (sb) down; to disappoint
对待,duì dài,to treat; treatment
对方,duì fāng,the other person; the other side; the other party
对付,duì fu,to handle; to deal with; to tackle; to get by with; to make do; (dialect) (usu. used in the negative) to get along with (sb)
对话,duì huà,to talk (with sb); dialogue; conversation
对面,duì miàn,(sitting) opposite; across (the street); directly in front; to be face to face
对手,duì shǒu,opponent; rival; competitor; (well-matched) adversary; match
对象,duì xiàng,target; object; partner; boyfriend; girlfriend
对于,duì yú,regarding; as far as (sth) is concerned; with regard to
蹲,dūn,to crouch; to squat; to stay (somewhere)
顿,dùn,"to stop; to pause; to arrange; to lay out; to kowtow; to stamp (one's foot); at once; classifier for meals, beatings, scoldings etc: time, bout, spell, meal"
多,duō,many; much; too many; in excess; (after a numeral) ... odd; how (to what extent) (Taiwan pr. [duó]); (bound form) multi-; poly-
多久,duō jiǔ,(of time) how long?; (not) a long time
多么,duō me,how (wonderful etc); what (a great idea etc); however (difficult it may be etc); (in interrogative sentences) how (much etc); to what extent
多少,duō shǎo,number; amount; somewhat
夺,duó,to seize; to take away forcibly; to wrest control of; to compete or strive for; to force one's way through; to leave out; to lose
躲,duǒ,to hide; to dodge; to avoid
恶,ě,used in 恶心
恶心,ě xīn,variant of 恶心
饿,è,to be hungry; hungry; to starve (sb)
儿童,ér tóng,child
儿子,ér zi,son
而,ér,and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast)
而且,ér qiě,(not only ...) but also; moreover; in addition; furthermore
而是,ér shì,rather
而已,ér yǐ,that's all; nothing more
耳朵,ěr duo,ear; handle (on a cup)
二,èr,two; 2; (Beijing dialect) stupid
发,fā,to send out; to show (one's feeling); to issue; to develop; to make a bundle of money; classifier for gunshots (rounds)
发表,fā biǎo,to issue; to publish
发布,fā bù,to release; to issue; to announce; to distribute; also written 发布
发出,fā chū,"to issue (an order, decree etc); to send out; to dispatch; to produce (a sound); to let out (a laugh)"
发动,fā dòng,to start; to launch; to unleash; to mobilize; to arouse
发挥,fā huī,to display; to exhibit; to bring out implicit or innate qualities; to express (a thought or moral); to develop (an idea); to elaborate (on a theme)
发明,fā míng,to invent; an invention
发射,fā shè,to shoot (a projectile); to fire (a rocket); to launch; to emit (a particle); to discharge; emanation; emission
发生,fā shēng,to happen; to occur; to take place; to break out
发现,fā xiàn,to notice; to become aware of; to discover; to find; to detect; a discovery
发行,fā xíng,"to publish; to issue (stocks, currency etc); to release; to distribute (a film)"
发型,fà xíng,hairstyle; coiffure; hairdo
发展,fā zhǎn,development; growth; to develop; to grow; to expand
罚,fá,to punish; to penalize
法,fǎ,variant of 法
法官,fǎ guān,judge (in court)
法律,fǎ lǜ,law
法庭,fǎ tíng,court of law
法院,fǎ yuàn,court of law; court
翻,fān,to turn over; to flip over; to overturn; to rummage through; to translate; to decode; to double; to climb over or into; to cross
烦,fán,to feel vexed; to bother; to trouble; superfluous and confusing; edgy
反,fǎn,contrary; in reverse; inside out or upside down; to reverse; to return; to oppose; opposite; against; anti-; to rebel; to use analogy; instead; abbr. for 切 phonetic system
反对,fǎn duì,to oppose; to be against; to object to
反而,fǎn ér,on the contrary; instead
反应,fǎn yìng,to react; to respond; reaction; response; reply; chemical reaction
反映,fǎn yìng,to mirror; to reflect; mirror image; reflection; (fig.) to report; to make known; to render
反正,fǎn zhèng,anyway; in any case; to come over from the enemy's side
返回,fǎn huí,to return to; to come (or go) back
犯,fàn,to violate; to offend; to assault; criminal; crime; to make a mistake; recurrence (of mistake or sth bad)
犯罪,fàn zuì,to commit a crime; crime; offense
饭,fàn,cooked rice; meal; (loanword) fan; devotee
饭店,fàn diàn,restaurant; hotel
范围,fàn wéi,range; scope; limit; extent
方,Fāng,surname Fang
方案,fāng àn,plan; program (for action etc); proposal; proposed bill
方便,fāng biàn,convenient; suitable; to facilitate; to make things easy; having money to spare; (euphemism) to relieve oneself
方法,fāng fǎ,method; way; means
方面,fāng miàn,respect; aspect; field; side
方式,fāng shì,way; manner; style; mode; pattern
方向,fāng xiàng,direction; orientation
防,fáng,to protect; to defend; to guard against; to prevent
防守,fáng shǒu,to defend; to protect (against)
防止,fáng zhǐ,to prevent; to guard against; to take precautions
房地产,fáng dì chǎn,real estate
房间,fáng jiān,room
房屋,fáng wū,house; building
房子,fáng zi,house; building (single- or two-story); apartment; room
访问,fǎng wèn,to visit; to call on; to interview
放,fàng,to put; to place; to release; to free; to let go; to let out; to set off (fireworks)
放到,fàng dào,Put in
放弃,fàng qì,to renounce; to abandon; to give up
放松,fàng sōng,to relax; to slacken; to loosen
放下,fàng xià,to lay down; to put down; to let go of; to relinquish; to set aside; to lower (the blinds etc)
放心,fàng xīn,to feel relieved; to feel reassured; to be at ease
飞,fēi,to fly
飞机,fēi jī,airplane
飞行,fēi xíng,(of planes etc) to fly; flying; flight; aviation
非,Fēi,"abbr. for 洲, Africa"
非常,fēi cháng,very; really; unusual; extraordinary
非法,fēi fǎ,illegal
肥,féi,fat; fertile; loose-fitting or large; to fertilize; to become rich by illegal means; fertilizer; manure
肺,fèi,lung
费,Fèi,surname Fei
费用,fèi yòng,cost; expenditure; expense
分,fēn,to divide; to separate; to distribute; to allocate; to distinguish (good and bad); (bound form) branch of (an organization); sub- (as in 局); fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute (unit of time); minute (angular measurement unit); a point (in sports or games); 0.01 yuan (unit of money)
分别,fēn bié,to part; to leave each other; to distinguish; to tell apart; difference; distinction; in different ways; differently; separately; individually
分开,fēn kāi,to separate; to part
分离,fēn lí,to separate
分配,fēn pèi,to distribute; to assign; to allocate; to partition (a hard drive)
分手,fēn shǒu,to part company; to split up; to break up
分析,fēn xī,to analyze; analysis
分享,fēn xiǎng,to share (let others have some of sth good)
分钟,fēn zhōng,minute
粉,fěn,powder; cosmetic face powder; food prepared from starch; noodles or pasta made from any kind of flour; to turn to powder; (dialect) to whitewash; white; pink; (suffix) fan (abbr. for 粉丝); to be a fan of
粉丝,fěn sī,bean vermicelli; mung bean starch noodles; Chinese vermicelli; cellophane noodles; fan (loanword); enthusiast for sb or sth
份,fèn,"classifier for gifts, newspaper, magazine, papers, reports, contracts etc; variant of 分"
愤怒,fèn nù,angry; indignant; wrath; ire
丰富,fēng fù,to enrich; rich; plentiful; abundant
风,fēng,wind; news; style; custom; manner
风格,fēng gé,style
风险,fēng xiǎn,risk; hazard
封,Fēng,surname Feng
疯,fēng,insane; mad; wild
疯狂,fēng kuáng,crazy; frenzied; wild
否认,fǒu rèn,to declare to be untrue; to deny
否则,fǒu zé,otherwise; if not; or (else)
佛,Fó,Buddha; Buddhism (abbr. for 陀)
服,fú,"clothes; dress; garment; to serve (in the military, a prison sentence etc); to obey; to be convinced (by an argument); to convince; to admire; to acclimatize; to take (medicine); mourning clothes; to wear mourning clothes"
服务,fú wù,to serve; service
