Vocab,Pinyin,Meaning,Example,Example_Meaning
除,chú,to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including,请除去垃圾。,Please remove the trash.
除非,chú fēi,"only if (..., or otherwise, ...); only when; only in the case that; unless",除非你请客，我不去。,I won't go unless you treat me.
除了,chú le,besides; apart from (... also...); in addition to; except (for),除了他，大家都来了。,"Except for him, everyone came."
厨房,chú fáng,kitchen,我在厨房做饭。,I am cooking in the kitchen.
处,chǔ,to reside; to live; to dwell; to be in; to be situated at; to stay; to get along with; to be in a position of; to deal with; to discipline; to punish,我们处得很好。,We get along well.
处理,chǔ lǐ,to handle; to deal with; to punish; to treat sth by a special process; to process; to sell at reduced prices,我来处理这件事。,I will handle this matter.
处于,chǔ yú,"to be in (some state, position, or condition)",他正处于困难中。,He is in a difficult situation.
穿,chuān,to wear; to put on; to dress; to bore through; to pierce; to perforate; to penetrate; to pass through; to thread,我穿这件衣服。,I am wearing this outfit.
穿着,chuān zhuó,attire; clothes; dress,你的穿着真好看。,Your clothes look really nice.
传,chuán,to pass on; to spread; to transmit; to infect; to transfer; to circulate; to conduct (electricity),请把书传给我。,Please pass the book to me.
传播,chuán bō,to disseminate; to propagate; to spread,消息传播很快。,News spreads quickly.
传奇,chuán qí,legendary; fantasy saga; romance; short stories of the Tang and Song Dynasty,他真是个传奇。,He is truly a legend.
传说,chuán shuō,legend; folk tale; to repeat from mouth to mouth; they say that...,这是一个古老传说。,This is an ancient legend.
传统,chuán tǒng,tradition; traditional; convention; conventional,这是我们的传统。,This is our tradition.
船,chuán,variant of 船,我们坐船去。,Let's go by boat.
床,chuáng,bed; couch; classifier for beds,我喜欢这张床。,I like this bed.
创,chuàng,variant of 创,这个创意真棒！,This idea is great!
创意,chuàng yì,creative; creativity,你很有创意。,You are very creative.
创造,chuàng zào,to create; to bring about; to produce; to set (a record),我们要创造未来。,We want to create the future.
创作,chuàng zuò,to create; to produce; to write; creative work; creation,我喜欢创作音乐。,I like creating music.
吹,chuī,to blow; to play a wind instrument; to blast; to puff; to boast; to brag; to end in failure; to fall through,请吹蜡烛。,Please blow out the candles.
纯,chún,pure; simple; unmixed; genuine,这是纯牛奶。,This is pure milk.
词,cí,old variant of 词,这个词什么意思？,What does this word mean?
慈善,cí shàn,benevolent; charitable,她喜欢做慈善。,She likes doing charity work.
辞职,cí zhí,to resign,我要辞职了。,I'm going to resign.
此,cǐ,this; these,此书很好。,This book is good.
此时,cǐ shí,now; this moment,此时天气很好。,The weather is nice now.
此外,cǐ wài,besides; in addition; moreover; furthermore,此外，我还有事。,"Besides, I have something else to do."
次,cì,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time",下次再见。,See you next time.
刺,cī,(onom.) whoosh,一阵风刺地刮过。,A gust of wind whooshed past.
刺激,cì jī,to provoke; to irritate; to upset; to stimulate; to excite; irritant,别刺激他。,Don't provoke him.
聪明,cōng ming,intelligent; clever; bright; smart; acute (of sight and hearing),这孩子真聪明。,This kid is really smart.
从,cóng,variant of 从,我从北京来。,I am from Beijing.
从此,cóng cǐ,from now on; since then; henceforth,从此他不再迟到。,"Since then, he is no longer late."
从来,cóng lái,always; at all times; never (if used in negative sentence),我从来不吃辣。,I never eat spicy food.
从事,cóng shì,to go for; to engage in; to undertake; to deal with; to handle; to do,你从事什么工作？,What do you do for a living?
从未,cóng wèi,never,我从未去过北京。,I have never been to Beijing.
村,cūn,village,我们去了那个村。,We went to that village.
存,cún,to exist; to deposit; to store; to keep; to survive,我存了很多钱。,I saved a lot of money.
存在,cún zài,to exist; to be; existence,问题确实存在。,The problem really exists.
措施,cuò shī,measure; step,我们需要采取措施。,We need to take measures.
错,Cuò,surname Cuo,他姓错。,His surname is Cuo.
错过,cuò guò,"to miss (train, opportunity etc)",我错过公交车了。,I missed the bus.
错误,cuò wù,mistaken; false; wrong; error; mistake,我犯了个错误。,I made a mistake.
搭,dā,"to put up; to build (scaffolding); to hang (clothes on a pole); to connect; to join; to arrange in pairs; to match; to add; to throw in (resources); to take (boat, train); variant of 褡",我们一起搭车吧,Let's take a ride together.
达成,dá chéng,to reach (an agreement); to accomplish,我们达成了协议。,We reached an agreement.
达到,dá dào,to reach; to achieve; to attain,我达到了目标。,I reached my goal.
答,dā,"bound form having the same meaning as the free word 答, used in 答应, 理 etc",他答应帮我。,He promised to help me.
答案,dá àn,answer; solution,你知道答案吗？,Do you know the answer?
答应,dā ying,to answer; to respond; to answer positively; to agree; to accept; to promise,妈妈答应我了。,Mom promised me.
打,dá,dozen (loanword),我买了一打鸡蛋。,I bought a dozen eggs.
打电话,dǎ diàn huà,to make a telephone call,我明天打电话给你。,I will call you tomorrow.
打击,dǎ jī,to hit; to strike; to attack; to crack down on sth; blow; (psychological) shock; percussion (music),别打击我的信心。,Don't crush my confidence.
打开,dǎ kāi,to open; to show (a ticket); to turn on; to switch on,请打开窗户。,Please open the window.
打破,dǎ pò,to break; to smash,他打破了花瓶。,He broke the vase.
打算,dǎ suàn,to plan; to intend; to calculate; plan; intention; calculation,我打算去北京。,I plan to go to Beijing.
大,dà,big; large; great; older (than another person); eldest (as in 姐); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother),他比我大两岁。,He is two years older than me.
大部分,dà bù fen,in large part; the greater part; the majority,大部分人都来了。,Most people have come.
大大,dà dà,greatly; enormously; (dialect) dad; uncle,这对我大大有帮助。,This greatly helps me.
大道,dà dào,main street; avenue,我们沿大道走。,We walk along the main street.
大多数,dà duō shù,(great) majority,大多数人喜欢喝茶。,Most people like drinking tea.
大概,dà gài,roughly; probably; rough; approximate; about; general idea,大概几点到？,About what time will you arrive?
大哥,dà gē,eldest brother; big brother (polite address for a man of about the same age as oneself); gang leader; boss,我大哥来了。,My eldest brother is here.
大会,dà huì,general assembly; general meeting; convention,明天开大会。,We have a big meeting tomorrow.
大家,dà jiā,everyone; influential family; great expert,大家明天见。,See everyone tomorrow.
大街,dà jiē,street; main street,我们在大街上见面吧。,Let's meet on the main street.
大量,dà liàng,great amount; large quantity; bulk; numerous; generous; magnanimous,我们买了大量水果。,We bought a large quantity of fruit.
大楼,dà lóu,"building (a relatively large, multistory one)",他在大楼上班。,He works in the building.
大陆,Dà lù,mainland China (reference to the PRC),我住在大陆。,I live in mainland China.
大门,Dà mén,"the Doors, US rock band",请关好大门。,Please close the main gate.
大脑,dà nǎo,brain; cerebrum,大脑很重要。,The brain is very important.
大人,dà ren,adult; grownup; title of respect toward superiors,他是大人。,He is an adult.
大赛,dà sài,grand contest,他赢了大赛。,He won the contest.
大声,dà shēng,loud voice; in a loud voice; loudly,请大声一点。,Please speak a little louder.
大师,dà shī,great master; master,他是书法大师。,He is a calligraphy master.
大事,dà shì,major event; major political event (war or change of regime); major social event (wedding or funeral); (do sth) in a big way,结婚是大事。,Marriage is a major event.
大厅,dà tīng,hall; lounge,我们在大厅等你。,We are waiting for you in the hall.
大小,dà xiǎo,dimension; magnitude; size; measurement; large and small; at any rate; adults and children; consideration of seniority,这个盒子的大小合适吗？,Is this box the right size?
大型,dà xíng,large; large-scale,我们去了一个大型商场。,We went to a large mall.
大学,Dà xué,"the Great Learning, one of the Four Books 四书 in Confucianism",我最近在读大学。,I am currently reading The Great Learning.
大约,dà yuē,approximately; probably,大约几点到？,About what time will you arrive?
大众,Dà zhòng,Volkswagen (automobile manufacturer),他买了辆大众。,He bought a Volkswagen.
呆,dāi,foolish; stupid; expressionless; blank; to stay,你发什么呆？,Why are you spacing out?
逮捕,dài bǔ,to arrest; to apprehend; an arrest,警察逮捕了小偷。,The police arrested the thief.
代,dài,to substitute; to act on behalf of others; to replace; generation; dynasty; age; period; (historical) era; (geological) eon,我代你去。,I'll go for you.
代表,dài biǎo,representative; delegate; to represent; to stand for; on behalf of; in the name of,我代表大家谢谢你。,I thank you on behalf of everyone.
代价,dài jià,price; cost; consideration (in share dealing),成功总要付出代价。,Success always comes at a cost.
代理,dài lǐ,to act on behalf of sb in a responsible position; to act as an agent or proxy; surrogate; (computing) proxy,他代理我去开会。,He is going to the meeting on my behalf.
带,dài,band; belt; girdle; ribbon; tire; area; zone; region; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise,我带伞了。,I brought an umbrella.
带来,dài lái,to bring; (fig.) to bring about; to produce,他带来了礼物。,He brought a gift.
待,dāi,to stay,你在这儿待着吧。,Just stay here.
贷款,dài kuǎn,a loan; to provide a loan (e.g. bank); to raise a loan (from e.g. a bank),我想贷款买房。,I want to get a loan to buy a house.
袋,dài,pouch; bag; sack; pocket,书在袋子里。,The book is in the bag.
戴,Dài,surname Dai,我姓戴。,My surname is Dai.
单,Shàn,surname Shan,我姓单。,My surname is Shan.
单独,dān dú,alone; by oneself; on one's own,我想单独吃饭。,I want to eat alone.
