Vocab,Pinyin,Meaning,Example,Example_Meaning
不足,bù zú,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not,由于预算不足，公司不得不推迟新产品的发布计划。,"Due to insufficient budget, the company has had to postpone the launch plan for the new product."
布,bù,variant of 布; to announce; to spread,政府将正式布告新政策，向公众详细说明实施步骤与时间安排。,"The government will officially announce the new policy, detailing the implementation steps and schedule to the public."
步,Bù,surname Bu,步老师是我们学校的体育教练。,Teacher Bu is our school's sports coach.
部,bù,"ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc",我最近在公司的市场部工作，主要负责策划线上推广活动。,"(部 here functions as ""department"" in the compound word 市场部/market department.)"
部队,bù duì,army; armed forces; troops; force; unit,这支部队正在边境地区进行例行巡逻和防御训练。,This troop/unit is conducting routine patrols and defensive training in the border region.
部分,bù fen,part; share; section; piece,这本书的部分内容已经被翻译成了英文。,Part of the content in this book has already been translated into English.
部门,bù mén,department; branch; section; division,我需要去财务部门办理报销手续。,I need to go to the finance department to process my reimbursement.
部长,bù zhǎng,head of a (government etc) department; section chief; section head; secretary; minister,财政部长在昨天的新闻发布会上表示，政府将出台新措施以稳定经济增长。,The Finance Minister stated at yesterday's press conference that the government will introduce new measures to stabilize economic growth.
擦,cā,"to rub; to scratch; to towel; to wipe with a towel; to apply (lipstick, lotion etc); to touch; to brush (past); to shred (vegetables etc)",请记得把地上的水渍擦干净，以免滑倒。,Please remember to wipe up the water spill on the floor to avoid slipping.
猜,cāi,to guess,我猜明天会下雨，所以出门带了伞。,"I guess it will rain tomorrow, so I brought an umbrella when I went out."
才,cái,ability; talent; sb of a certain type; a capable individual; then and only then; just now; (before an expression of quantity) only,只有每天坚持练习，才能真正提高口语水平。,then and only then / indicating a necessary condition
才能,cái néng,talent; ability; capacity,公司希望为员工提供广阔的发展平台，让他们能充分发挥自己的才能。,The company hopes to provide employees with a broad platform for development so they can fully utilize their talents.
材料,cái liào,(raw) material; data; (fig.) person who has the potential to do the job,为了完成这份市场调研报告，我们需要收集更多的第一手材料。,(raw) material; data; (fig.) person who has the potential to do the job
财产,cái chǎn,property; assets; estate,他去世后，所有财产都依法留给了他的三个孩子。,"After he passed away, all of his property was legally left to his three children."
财富,cái fù,wealth; riches,他通过多年的辛勤工作终于积累了可观的财富。,He finally accumulated considerable wealth through years of hard work.
财务,cái wù,financial affairs,她负责公司的财务工作，包括管理日常收支和编制预算。,"She is in charge of the company's financial affairs, including managing daily income and expenses and preparing budgets."
采访,cǎi fǎng,to interview; to gather news; to hunt for and collect; to cover,为了完成新闻报道，记者深入灾区采访了多位受灾群众。,"To complete the news report, the journalist went into the disaster area to interview multiple affected residents."
采取,cǎi qǔ,"to adopt or carry out (measures, policies, course of action); to take",为了改善空气质量，市政府最近采取了一系列有效措施。,"To improve air quality, the city government recently took a series of effective measures."
采用,cǎi yòng,to adopt; to employ; to use,为了提高工作效率，公司决定采用一套新的项目管理系统。,"To improve work efficiency, the company decided to adopt a new project management system."
踩,cǎi,variant of 踩,他不小心踩到了一块香蕉皮，差点摔倒。,He accidentally stepped on a banana peel and almost fell.
菜,cài,dish (type of food); vegetable; cuisine; (coll.) (one's) type; (of one's skills etc) weak; poor,这道菜的味道非常地道，特别适合搭配米饭一起吃。,dish (type of food)
参观,cān guān,to look around; to tour; to visit,我们昨天去参观了国家博物馆，近距离了解了中国古代的历史文物。,We visited the National Museum yesterday and got a close look at ancient Chinese historical artifacts.
参加,cān jiā,to participate; to take part; to join,你愿意参加这个周末的社区清洁活动吗？,Would you like to take part in this weekend's community cleanup activity?
参赛,cān sài,to compete; to take part in a competition,为了积累经验，他决定先以观众身份观看比赛，明年再亲自参赛。,"To gain experience, he decided to watch the competition as an audience member this time and officially compete next year."
参与,cān yù,to participate (in sth),公司鼓励员工积极参与社区志愿服务。,The company encourages employees to actively participate in community volunteer services.
餐,cān,meal; to eat; classifier for meals,他平时工作很忙，经常一天只吃两餐。,He is usually busy with work and often only eats two meals a day.
餐厅,cān tīng,dining hall; dining room; restaurant,我们周末打算去市中心的一家餐厅吃晚饭。,We plan to have dinner at a restaurant in the city center this weekend.
惨,cǎn,miserable; wretched; cruel; inhuman; disastrous; tragic; dim; gloomy,这场大火造成的后果太惨了，许多家庭因此无家可归。,"The consequences of this fire were too tragic, leaving many families homeless."
藏,Zàng,Tibet; abbr. for Xizang or Tibet Autonomous Region 藏,这辆车的车牌以“藏”字开头，表明它是在西藏自治区注册的。,"This car's license plate starts with the character ""Zang"", indicating that it is registered in the Tibet Autonomous Region."
操作,cāo zuò,to work; to operate; to manipulate,请仔细阅读说明书后再操作这台新设备，以免损坏机器。,Please read the manual carefully before operating this new device to avoid damaging the equipment.
草,cǎo,variant of 草,春天到了，院子里的草长得特别茂盛。,"Spring has arrived, and the grass in the yard is growing especially lush."
侧,cè,the side; to incline towards; to lean; inclined; lateral; side,请往侧面站一点，这样大家都能看清楚舞台。,Please stand a bit to the side so everyone can see the stage clearly.
厕所,cè suǒ,toilet; lavatory,请问，厕所在哪里？,"Excuse me, where is the restroom?"
测,cè,to survey; to measure; to conjecture,工程师使用精密仪器测出了桥梁的承重极限。,Engineers used precision instruments to measure the bridge's load-bearing limit.
测试,cè shì,to test (machinery etc); to test (a person's skill in a particular area); a test; (computing) beta (version of software),为了确保系统稳定，工程师会对新开发的软件进行全面测试。,"To ensure system stability, engineers will conduct comprehensive testing on the newly developed software."
