Vocab,Pinyin,Meaning,Example,Example_Meaning,Image
措施,cuò shī,measure,我们需要采取措施。,We need to take measures.,"<img src=""measure.jpg"" />"
错过,cuò guò,"to miss (train, opportunity etc)",我错过公交车了。,I missed the bus.,"<img src=""opportunity.jpg"" />"
错误,cuò wù,mistaken; false; wrong,我犯了个错误。,I made a mistake.,"<img src=""false.jpg"" />"
搭,dā,to put up,我们一起搭车吧,Let's take a ride together.,
达成,dá chéng,to reach (an agreement),我们达成了协议。,We reached an agreement.,"<img src=""agreement.jpg"" />"
达到,dá dào,to reach; to achieve; to attain,我达到了目标。,I reached my goal.,"<img src=""achieve.jpg"" />"
答,dā,"bound form having the same meaning as the free word 答[da2], used in 答應|答应[da1 ying5], 答理[da1 li5] etc",他答应帮我。,He promised to help me.,
答案,dá àn,answer,你知道答案吗？,Do you know the answer?,
答应,dā ying,to answer; to respond,妈妈答应我了。,Mom promised me.,"<img src=""respond.jpg"" />"
打,dá,(loanword) dozen,我买了一打鸡蛋。,I bought a dozen eggs.,
打电话,dǎ diàn huà,to make a telephone call,我明天打电话给你。,I will call you tomorrow.,
打击,dǎ jī,to hit,别打击我的信心。,Don't crush my confidence.,"<img src=""hit.jpg"" />"
打开,dǎ kāi,to open,请打开窗户。,Please open the window.,
打破,dǎ pò,to break; to smash,他打破了花瓶。,He broke the vase.,"<img src=""smash.jpg"" />"
打算,dǎ suàn,to plan,我打算去北京。,I plan to go to Beijing.,"<img src=""plan.jpg"" />"
大,dà,big; large; great,他比我大两岁。,He is two years older than me.,"<img src=""great.jpg"" />"
大部分,dà bù fen,the greater part; the majority; most,大部分人都来了。,Most people have come.,"<img src=""majority.jpg"" />"
大大,dà dà,greatly,这对我大大有帮助。,This greatly helps me.,
大道,dà dào,main street,我们沿大道走。,We walk along the main street.,"<img src=""street.jpg"" />"
大多数,dà duō shù,(great) majority,大多数人喜欢喝茶。,Most people like drinking tea.,
大概,dà gài,roughly,大概几点到？,About what time will you arrive?,
大哥,dà gē,eldest brother,我大哥来了。,My eldest brother is here.,
大会,dà huì,general assembly,明天开大会。,We have a big meeting tomorrow.,"<img src=""assembly.jpg"" />"
大家,dà jiā,everyone,大家明天见。,See everyone tomorrow.,
大街,dà jiē,street,我们在大街上见面吧。,Let's meet on the main street.,
大量,dà liàng,great amount,我们买了大量水果。,We bought a large quantity of fruit.,"<img src=""amount.jpg"" />"
大楼,dà lóu,"building (a relatively large, multistory one)",他在大楼上班。,He works in the building.,"<img src=""large.jpg"" />"
大陆,Dà lù,mainland China (reference to the PRC),我住在大陆。,I live in mainland China.,"<img src=""reference.jpg"" />"
大门,Dà mén,"the Doors, US rock band",请关好大门。,Please close the main gate.,"<img src=""rock.jpg"" />"
大脑,dà nǎo,brain,大脑很重要。,The brain is very important.,"<img src=""brain.jpg"" />"
大人,dà ren,adult,他是大人。,He is an adult.,"<img src=""adult.jpg"" />"
大赛,dà sài,grand contest,他赢了大赛。,He won the contest.,"<img src=""grand.jpg"" />"
大声,dà shēng,loud voice,请大声一点。,Please speak a little louder.,"<img src=""loud.jpg"" />"
大师,dà shī,great master,他是书法大师。,He is a calligraphy master.,"<img src=""master.jpg"" />"
大事,dà shì,major event,结婚是大事。,Marriage is a major event.,"<img src=""event.jpg"" />"
大厅,dà tīng,hall; concourse; public lounge; (hotel) lobby,我们在大厅等你。,We are waiting for you in the hall.,"<img src=""public.jpg"" />"
大小,dà xiǎo,large and small,这个盒子的大小合适吗？,Is this box the right size?,
大型,dà xíng,large,我们去了一个大型商场。,We went to a large mall.,
大学,Dà xué,"the Great Learning, one of the Four Books 四書|四书[Si4 shu1] in Confucianism",我最近在读大学。,I am currently reading The Great Learning.,
大约,dà yuē,approximately,大约几点到？,About what time will you arrive?,
大众,Dà zhòng,Volkswagen (automobile manufacturer),他买了辆大众。,He bought a Volkswagen.,"<img src=""automobile.jpg"" />"
呆,dāi,foolish; stupid,你发什么呆？,Why are you spacing out?,
逮捕,dài bǔ,to arrest; to apprehend; to take into custody,警察逮捕了小偷。,The police arrested the thief.,"<img src=""custody.jpg"" />"
代,dài,to be a substitute for; to act on behalf of; to replace; to substitute,我代你去。,I'll go for you.,"<img src=""substitute.jpg"" />"
代表,dài biǎo,representative,我代表大家谢谢你。,I thank you on behalf of everyone.,
代价,dài jià,price,成功总要付出代价。,Success always comes at a cost.,"<img src=""price.jpg"" />"
代理,dài lǐ,to act on behalf of sb in a responsible position,他代理我去开会。,He is going to the meeting on my behalf.,"<img src=""responsible.jpg"" />"
带,dài,band,我带伞了。,I brought an umbrella.,"<img src=""band.jpg"" />"
带来,dài lái,to bring,他带来了礼物。,He brought a gift.,
待,dāi,to stay; to remain,你在这儿待着吧。,Just stay here.,"<img src=""remain.jpg"" />"
贷款,dài kuǎn,a loan,我想贷款买房。,I want to get a loan to buy a house.,"<img src=""loan.jpg"" />"
袋,dài,pouch,书在袋子里。,The book is in the bag.,"<img src=""pouch.jpg"" />"
单独,dān dú,alone,我想单独吃饭。,I want to eat alone.,"<img src=""alone.jpg"" />"
单身,dān shēn,unmarried; single,我现在是单身。,I am single now.,"<img src=""single.jpg"" />"
单位,dān wèi,unit (of measure),你的单位在哪里？,Where is your workplace?,
担心,dān xīn,anxious,我担心你。,I'm worried about you.,"<img src=""anxious.jpg"" />"
但,dàn,but; yet; however; still,我想去，但没时间。,"I want to go, but I have no time.","<img src=""however.jpg"" />"
但是,dàn shì,but; however,我想去，但是没时间。,"I want to go, but I have no time.",
弹,dàn,crossball,他装好子弹了。,He loaded the bullets.,
蛋糕,dàn gāo,cake,我想吃蛋糕。,I want to eat cake.,"<img src=""cake.jpg"" />"
当,dāng,(onom.) dong,你当心点。,Be careful.,
当成,dàng chéng,to consider as; to take to be,我把你当成朋友。,I consider you a friend.,"<img src=""consider.jpg"" />"
当初,dāng chū,at that time,当初我不该走。,I shouldn't have left back then.,
当地,dāng dì,local,当地美食很好吃。,Local food is delicious.,
当年,dāng nián,in those days; back then; in those years,当年我住在北京。,I lived in Beijing back then.,
当然,dāng rán,only natural,当然可以。,Of course.,"<img src=""natural.jpg"" />"
当时,dāng shí,then; at that time,他当时没来。,He didn't come at that time.,
当事人,dāng shì rén,persons involved or implicated; party (to an affair),当事人是谁？,Who is the person involved?,"<img src=""affair.jpg"" />"
当天,dāng tiān,on that day,我当天就回去了。,I went back on that day.,"<img src=""day.jpg"" />"
当中,dāng zhōng,among,他在我们当中。,He is among us.,"<img src=""among.jpg"" />"
当作,dàng zuò,to treat as,我把你当作朋友。,I treat you as a friend.,
挡,dǎng,to resist,请别挡着门。,Please don't block the door.,"<img src=""resist.jpg"" />"
档,dǎng,(Tw) gear (variant of 擋|挡[dang3]),请挂档。,Please shift gear.,
档案,dàng àn,file; record; archive,档案在抽屉里。,The file is in the drawer.,
导弹,dǎo dàn,(guided) missile,他们发射了导弹。,They launched a missile.,
导演,dǎo yǎn,to direct,他是电影导演。,He is a film director.,
导致,dǎo zhì,to lead to; to create; to cause; to bring about,熬夜导致失眠。,Staying up late causes insomnia.,"<img src=""cause.jpg"" />"
到,dào,to reach; to arrive,我到家了。,I've arrived home.,
到处,dào chù,everywhere,我到处找你。,I'm looking for you everywhere.,
到达,dào dá,to reach; to arrive,我们明天到达北京。,We arrive in Beijing tomorrow.,
到底,dào dǐ,finally,他到底来了。,He finally came.,"<img src=""finally.jpg"" />"
到来,dào lái,to arrive,期待你的到来。,Looking forward to your arrival.,
倒,dǎo,to fall; to collapse; to lie horizontally,他累倒了。,He collapsed from exhaustion.,"<img src=""collapse.jpg"" />"
道,dào,"road; path (CL:條|条[tiao2],股[gu3])",前面有条小道。,There is a small path ahead.,"<img src=""path.jpg"" />"
道德,dào dé,virtue,道德很重要。,Morality is very important.,"<img src=""virtue.jpg"" />"
道理,dào li,reason,这话有道理。,This makes sense.,"<img src=""reason.jpg"" />"
道路,dào lù,road,道路在左边。,The road is on the left.,
道歉,dào qiàn,to apologize,我向你道歉。,I apologize to you.,
德,Dé,Germany,德菜很好吃。,German food is delicious.,
地,de,-ly,他慢慢地走。,He walks slowly.,
地板,dì bǎn,floor,地板很干净。,The floor is very clean.,
地点,dì diǎn,place,我们选个地点吧。,Let's pick a place.,"<img src=""place.jpg"" />"
地方,dì fāng,region,这里是个好地方。,This is a good place.,"<img src=""region.jpg"" />"
地面,dì miàn,floor,地面很干净。,The ground is very clean.,
地球,dì qiú,the earth,我爱地球。,I love the earth.,
地区,dì qū,region; area (informal or geographical term),你来自哪个地区？,Which region are you from?,"<img src=""informal.jpg"" />"
地上,dì shang,on the ground,我的书在地上。,My book is on the floor.,
地铁,dì tiě,underground railway; subway,我们坐地铁吧。,Let's take the subway.,"<img src=""underground.jpg"" />"
地图,dì tú,map,请给我一张地图。,Please give me a map.,
地位,dì wèi,position,他在公司地位很高。,He has high status in the company.,"<img src=""position.jpg"" />"
地下,dì xià,underground,我们在地下停车场。,We are in the underground parking lot.,
地震,dì zhèn,earthquake,昨天发生了地震。,An earthquake happened yesterday.,"<img src=""earthquake.jpg"" />"
地址,dì zhǐ,address,你的地址是什么？,What is your address?,
的,de,of; ~'s (possessive particle),这是我的书。,This is my book.,
的话,de huà,if (coming after a conditional clause),下雨的话，我不去。,"If it rains, I won't go.",
的确,dí què,really,这的确不错。,This is indeed good.,
得,dé,to obtain,他得了第一名。,He got first place.,"<img src=""obtain.jpg"" />"
得到,dé dào,to get; to obtain; to receive,我得到了好消息。,I got some good news.,"<img src=""receive.jpg"" />"
得分,dé fēn,"to score a point (in a competition, test etc)",他得分了。,He scored.,
得了,dé le,all right!,得了，别说了。,"All right, that's enough.",
得知,dé zhī,to find out,我刚得知这个消息。,I just found out the news.,
灯,dēng,lamp,请开灯。,Please turn on the light.,
登,dēng,to scale (a height),今天去登山吧。,Let's go hiking today.,"<img src=""height.jpg"" />"
登记,dēng jì,to register (one's name),请登记名字。,Please register your name.,
等,děng,to wait for; to await,请等一下。,Please wait a moment.,"<img src=""await.jpg"" />"
等待,děng dài,to wait; to wait for,我在等待公交车。,I am waiting for the bus.,"<img src=""wait.jpg"" />"
等于,děng yú,to equal,这等于白干。,This equals working for nothing.,"<img src=""equal.jpg"" />"
低,dī,low,他低着头。,He lowered his head.,"<img src=""low.jpg"" />"
滴,dī,to drip,水滴下来了。,The water is dripping down.,"<img src=""drip.jpg"" />"
敌人,dí rén,enemy,别怕，敌人很弱。,"Don't worry, the enemy is weak.","<img src=""enemy.jpg"" />"
底,de,(equivalent to 的 as possessive particle),这是我底朋友。,This is my friend.,"<img src=""equivalent.jpg"" />"
弟弟,dì di,younger brother,我有个弟弟。,I have a younger brother.,
第,dì,"(prefix indicating ordinal number, as in 第六[di4 liu4] ""sixth"")",我是第一名。,I am first place.,
第二,dì èr,second,这是第二个。,This is the second one.,
第一,dì yī,first,我是第一名。,I got first place.,
典型,diǎn xíng,model,他是典型的懒人。,He is a typical lazy person.,
点,diǎn,to touch briefly; to tap,现在几点？,What time is it now?,"<img src=""tap.jpg"" />"
电,diàn,lightning,手机没电了。,My phone is out of battery.,"<img src=""lightning.jpg"" />"
电池,diàn chí,battery; electric cell,我的手机没电池了。,My phone has no battery.,"<img src=""electric.jpg"" />"
电话,diàn huà,telephone,请给我打电话。,Please call me.,
电力,diàn lì,electrical power,我们这里电力很足。,We have plenty of power here.,"<img src=""power.jpg"" />"
电脑,diàn nǎo,computer,我的电脑坏了。,My computer is broken.,
电视,diàn shì,television; TV,我喜欢看电视。,I like watching TV.,
电视台,diàn shì tái,television station,我在电视台工作。,I work at a television station.,"<img src=""station.jpg"" />"
电梯,diàn tī,elevator,坐电梯吧。,Let's take the elevator.,
电影,diàn yǐng,movie; film,我喜欢看电影。,I like watching movies.,
电子,diàn zǐ,electronic,我用电子支付。,I use electronic payment.,"<img src=""electronic.jpg"" />"
店,diàn,inn; old-style hotel (CL:家[jia1]),这家店很好。,This shop is very good.,"<img src=""hotel.jpg"" />"
调,diào,to transfer,公司要调我去北京。,The company wants to transfer me to Beijing.,"<img src=""transfer.jpg"" />"
调查,diào chá,investigation,我们在做调查。,We are doing a survey.,
调整,tiáo zhěng,to adjust; to revise; to reorganize,我调整了闹钟。,I adjusted my alarm clock.,"<img src=""revise.jpg"" />"
掉,diào,to fall,手机掉地上了。,My phone fell on the ground.,
盯,dīng,to watch attentively,别盯着我看。,Don't stare at me.,"<img src=""watch.jpg"" />"
顶,dǐng,apex,山顶的风景很美。,The view at the top of the mountain is beautiful.,
订,dìng,to agree,我订了房间。,I booked a room.,"<img src=""agree.jpg"" />"
定,dìng,to fix; to set; to make definite,时间定好了。,The time is set.,"<img src=""definite.jpg"" />"
定位,dìng wèi,to orientate,他的定位很准。,His positioning is very accurate.,
丢,diū,to lose,我丢了钥匙。,I lost my keys.,"<img src=""lose.jpg"" />"
东西,dōng xī,east and west,南北和东西都是方向。,"North, south, east, and west are all directions.","<img src=""east.jpg"" />"
冬天,dōng tiān,winter,我喜欢冬天。,I like winter.,
董事会,dǒng shì huì,board of directors,董事会明天开会。,The board of directors will meet tomorrow.,
