Word,Meaning,Pinyin,Example,Translation
结束,kết thúc,jiéshù,秋收快要结束了。,thu hoạch vụ thu sắp kết thúc.
尖锐,nhọn,jiānruì,把锥子磨得非常尖锐。,đem cái dùi mài thật sắc nhọn.
诚恳,thành khẩn,chéngkěn,,
解决,giải quyết,jiějué,解决困难。,tháo gỡ khó khăn.
信誉,danh dự và lòng tín nghĩa,xìnyù,信誉卓著。,danh dự lẫy lừng; danh dự vang lừng.
咋,"sao, thế nào",zǎ,咋样,thế nào
门诊,phòng khám bệnh,ménzhěn,,
努力,"phấn đấu, nỗ lực",nǔlì,努力工作。,nỗ lực công tác.
开发,"khai phá, mở mang",kāifā,开发荒山.,khai phá núi hoang.
扒,vết sẹo,bā,扒墙头儿,bíu lên tường
酒吧,quán bar,jiǔbā,,
砸,"đánh, đập,nện",zá,砸核桃,đập hột đào
意外,"bất ngờ, không ngờ",yìwài,感到意外,cảm thấy bất ngờ.
用途,"công dụng, phạm vi sử dụng",yòngtú,橡胶的用途很广。,công dụng của cao su rất rộng.
践踏,"đạp, giẫm, giày xéo",jiàntà,不要践踏青苗。,không được đạp lên mạ non.
舱,"khoang, buồng",cāng,货舱。,khoang hàng hoá
千万,"nhất thiết, dù sao cũng",qiān wàn,千万不可大意。,nhất thiết không được sơ xuất.
麻醉,gây tê,mázuì,,
以免,để tránh,yǐmiǎn,工地上应该加强安全措施，以免发生工伤事故。,"trên công trường cần phải tăng cường biện pháp an toàn, để tránh xảy ra tai nạn lao động."
简化,đơn giản hóa,jiǎnhuà,简化手续。,đơn giản hoá thủ tục.
准时,đúng giờ,zhǔnshí,准时出席,dự họp đúng giờ.
腮,mang cá,sāi,,
对待,"đối xử,đối đãi",duìdài,高山与平地对待，不见高山，哪见平地?,"núi cao và đất bằng chỉ ở thế tương đối, không thấy núi cao, làm sao biết đất bằng?"
资助,trợ cấp,zīzhù,解囊资助,giúp của.
苹果,táo,píngguǒ,,
噪音,tiếng ồn,zàoyīn,,
把关,"kiểm định, nắm chặt",bǎguān,把好质量关,nắm chặt khâu chất lượng
浪费,lãng phí,làngfèi,反对浪费，提倡节约。,"phản đối lãng phí, đề xướng tiết kiệm."
充电器,sạc,chōngdiàn qì,,
志气,chí khí,zhìqì,有志气,có chí khí
招收,"thu nhận, tuyển nhận",zhāoshōu,,
与,"với,và",yǔ,赠与,tặng cho
上级,"cấp trên, thượng cấp",shàngjí,上级机关。,cơ quan cấp trên.
胆怯,nhút nhát,dǎnqiè,初上讲台，还真有几分胆怯。,"lần đầu lên bục giảng, cảm thấy hơi sợ sệt."
永恒,"vĩnh hằng, đời đời",yǒnghéng,永恒的友谊。,mối tình hữu nghị đời đời bền vững
虚心,khiêm tốn,xūxīn,不虚心。,không khiêm tốn
修理,sửa,xiūlǐ,修理厂,xưởng sửa chữa
保证,bảo đảm,bǎozhèng,我们保证提前完成任务,chúng tôi cam đoan hoàn thành nhiệm vụ trước thời hạn
骑,"cưỡi, đi",qí,骑马。,cưỡi ngựa.
挂,treo,guà,挂钟,đồng hồ treo tường
饭馆,khách sạn,fànguǎn,,
来源,nguồn gốc,láiyuán,经济来源。,nguồn kinh tế.
孕育,thai nghén,yùnyù,海洋是孕育原始生命的温床。,Hải Dương là lò lửa ấp ủ mạng sống nguyên thuỷ.
西瓜,dưa hấu,xī guā,,
齐全,đầy đủ,qíquán,百货公司已经把冬季用品准备齐全。,công ty bách hoá đã chuẩn bị đầy đủ những đồ dùng hàng ngày của mùa đông.
棵,cây,kē,一棵树。,một cây.
糊涂,"hồ đồ, lơ mơ, mơ hồ",hútú,他越解释，我越糊涂。,"anh ấy càng giải thích, tôi càng không rõ."
空前绝后,không bao giờ có,kōngqiánjuéhòu,,
腹泻,bệnh tiêu chảy,fùxiè,,
犹豫,"do dự, ngập ngừng",yóuyù,犹豫不定。,do dự không quyết
上网,lên mạng,shàngwǎng,,
技巧,"kỹ xảo, sự thành thạo",jìqiǎo,运用技巧。,vận dụng kỹ xảo.
等于,bằng,děngyú,三加二等于五。,ba cộng hai bằng năm
辛苦,vất vả,xīnkǔ,辛辛苦苦。,vất vả cực nhọc
许多,nhiều,xǔduō,许多人。,rất nhiều người
陌生,lạ,mòshēng,陌生人。,người lạ.
纤维,sợi,xiānwéi,,
覆盖,che phủ,fùgài,积雪覆盖着地面,tuyết phủ kín mặt đất.
隔离,"tách ly, tách rời, để riêng ra",gélí,隔离病房,phòng cách ly bệnh
孤单,cô đơn,gūdān,孤单一人,người cô đơn
愚蠢,"ngu xuẩn, ngu dại",yúchǔn,愚蠢无知,ngu xuẩn không biết gì
辅导,"phụ đạo, hướng dẫn",fǔdǎo,辅导员,hướng dẫn viên; phụ đạo viên
气势,khí thế,qìshì,气势磅礴。,khí thế hào hùng.
化石,hoóa thạch,huàshí,化石作用。,tác dụng hoá đá.
只,chỉ,zhǐ,只身,một mình
熊猫,gấu trúc,xióngmāo,,
证件,giấy chứng nhận,zhèngjiàn,,
锤,cái búa,chuí,秤锤 。,quả cân.
老虎,con hổ,lǎohǔ,煤老虎。,hao phí khí đốt.
嘱咐,"dặn dò, căn dặn",zhǔfù,再三嘱咐,dặn đi dặn lại
操场,sân chơi,cāochǎng,,
印刷,in,yìnshuā,,
条件,điều kiện,tiáojiàn,自然条件,điều kiện tự nhiên
理智,lý trí,lǐzhì,丧失理智。,mất lý trí.
放射,phóng xạ,fàngshè,放射形,hình rẻ quạt
公婆,cha mẹ chồng,gōngpó,,
倡导,"khởi xướng, mở đầu",chàngdǎo,,
占线,đường dây bận,zhànxiàn,一连拨了几次，他家的电话都占线。,gọi liền mấy lần mà điện thoại nhà anh ấy đều bận.
戏剧,"kịch, tuồng",xìjù,现代戏剧,kịch hiện đại
丰收,được mùa,fēngshōu,丰收年,năm được mùa
流浪,"lang thang, lưu lạc",liúlàng,流浪者。,kẻ lang thang.
越,vượt qua,yuè,越 墙,nhảy qua tường
呢,thì sao,ne,这个道理在哪儿?,lí lẽ ở đâu nhỉ?
幽默,hài hước,yōumò,言词幽默,lời lẽ hài hước
任性,tùy hứng,rènxìng,他有时不免孩子气，有点任性。,"anh ấy có lúc không bỏ được tính trẻ con, có chút sống buông thả."
增添,taăng lên,zēngtiān,增添设备,thêm thiết bị
莫名其妙,không hiểu ra sao cả,mòmíngqímiào,,
英勇,anh dũng,yīngyǒng,英勇杀敌,anh dũng giết giặc
回收,"thu lại, thu hồi",huíshōu,回收废旧物资。,thu hồi vật tư phế thải.
清真,"trong sạch, chất phác",qīngzhēn,诗贵清真，更要有寄托。,"thơ quý ở chỗ mộc mạc chất phác, phải có sự gửi gấm ý tình của tác giả."
同时,đồng thời,tóngshí,他们俩是同时复员的。,hai người họ phục viên cùng lúc.
一直,"luôn, suốt, liên tục",yīzhí,一直走，不拐弯。,"đi thẳng, không rẽ ngoặt."
需要,cần,xūyào,我们需要有一支强大的科学技术队伍。,chúng tôi cần có một đội ngũ khoa học kỹ thuật lớn mạnh
善良,"hảo tâm, lương thiện",shànliáng,善良的愿望,những điều mong muốn tốt đẹp.
床单,khăn trải giường,chuángdān,,
对应,"phù hợp, đối ứng, tương ứng",duìyìng,对应措施,biện pháp tương ứng
各自,mỗi người,gèzì,工作中出了问题，不能只责怪对方，各自要多做自我批评。,"trong công việc nẩy sinh vấn đề, không nên chỉ trách đối phương, riêng phần mình cũng nên tự phê bình."
形成,hình thành,xíngchéng,形成鲜明的对比。,hình thành sự đối lập rõ rệt.
声势,thanh thế,shēngshì,声势浩大。,thanh thế lẫy lừng.
有,có,yǒu,我有《鲁迅全集》。,"tôi có quyển ""Lỗ Tấn toàn tập""."
感受,cảm nhận,gǎnshòu,感受风寒,bị cảm lạnh
栏目,chuyên mục,lánmù,小说栏目。,chuyên mục tiểu thuyết.
操练,"luyện tập, thao luyện",cāoliàn,操练人马。,thao diễn người ngựa; thao diễn quân đội
富裕,giàu có,fùyù,日子过得挺富裕。,sống cuộc sống sung túc
工业,công nghiệp,gōngyè,,
抢劫,cướp tài sản,qiǎngjié,,
中介,"môi giới, trung gian",zhōngjiè,中介人,người môi giới
蛋白质,protein,dànbáizhí,,
承担,"gánh vác, đảm đương",chéngdān,承担义务。,gánh vác nghĩa vụ.
确切,chính xác,quèqiè,确切不移。,chuẩn xác không xê dịch.
全力以赴,dốc toàn lực,quánlì yǐ fù,,
恶心,buồn nôn,ěxīn,,
总算,"cuối cùng cũng, nhìn chung",zǒngsuàn,一连下了六七天的雨，今天总算晴了。,"mưa suốt sáu bảy ngày, hôm nay cuối cùng trời cũng nắng."
百,một trăm,bǎi,百 分比; 百 分率,tỉ lệ phần trăm
武器,vuũ khí,wǔqì,思想武器,vũ khí tư tưởng
任务,nhiệm vụ,rènwù,政治任务。,nhiệm vụ chính trị.
遥远,xa xôi,yáoyuǎn,路途遥远,đường xa diệu vợi; đường xá xa xôi.
必然,"tất nhiên, tất yếu",bìrán,在工作中必然会碰到各种困难。,trong công việc thế nào cũng gặp đủ loại khó khăn
丙,"thứ ba, Bính",bǐng,丙等。,hạng 3
衰老,lão hóa,shuāilǎo,,
讲究,"chú ý,coi trọng",jiǎngjiù,讲究卫生。,chú ý vệ sinh.
石头,đá,shítou,,
瞧,nhìn,qiáo,瞧见。,nhìn xem.
意味着,nghĩa là,yìwèizhe,生产率的提高意味着劳动力的节省。,nâng cao năng suất có nghĩa là tiết kiệm sức lao động.
原料,nguyên liệu,yuánliào,工业原料种类极多。,nguyên liệu công nghiệp có rất nhiều loại.
尤其,"đặc biệt là, nhất là",yóuqí,我喜欢图画，尤其喜欢中国画。,"tôi thích tranh vẽ, đặc biệt là tranh vẽ Trung Quốc."
人士,người,rénshì,民主人士。,nhân sĩ dân chủ.
营业,kinh doanh,yíngyè,营业额,doanh số
畔,"bờ, bên( sông, hồ, đường)",pàn,湖畔。,bờ hồ.
增长,tăng trưởng,zēngzhǎng,增长知识,tăng thêm kiến thức
游泳,bơi,yóuyǒng,,
因而,vì thế,yīn'ér,下游河床狭窄，因而河水容易泛滥。,"hạ lưu dòng sông rất hẹp, cho nên nước sông rất dễ lan tràn."
军事,quân sự,jūnshì,军事工作。,công tác quân sự.
码头,bến tàu,mǎtóu,水陆码头。,đầu mối giao thông đường bộ và đường thuỷ.
内涵,nội hàm,nèihán,,
嫉妒,"đố kỵ, ganh ghét",jídù,,
花瓣,cánh hoa,huābàn,,
纷纷,"tới tấp, dồn dập",fēnfēn,议论纷纷,bàn luận sôi nổi
思绪,"tâm tư, tư tưởng tình cảm",sīxù,思绪纷乱。,rối loạn mạch suy nghĩ.
历代,các triều đại,lìdài,历代名画。,những danh hoạ của các triều đại.
文明,văn minh,wénmíng,物质文明,nền văn minh vật chất
安详,êm đềm,ānxiáng,举止安详,cử chỉ khoan thai
当务之急,việc khẩn cấp trước mắt,dāngwùzhījí,,
进步,tiến bộ,jìnbù,虚心使人进步，骄傲使人落后。,"khiêm tốn làm cho người ta tiến bộ, kiêu ngạo làm cho người ta tụt hậu."
需求,nhu cầu,xūqiú,人们对商品的需求越来越高。,nhu cầu về hàng hoá của mọi người càng ngày càng cao.
关,đóng,guān,关窗户,đóng cửa sổ
蒸发,hơi bốc lên,zhēngfā,,
向,"đến, tới",xiàng,志向。,chí hướng
摩托车,xe mô tô,mótuō chē,,
心灵,tâm linh,xīnlíng,心灵手巧。,thông minh khéo tay.
担保,đảm bảo,dānbǎo,出不了事，我敢担保。,"không xảy ra chuyện gì đâu, tôi dám đảm bảo đấy."
粗鲁,thô lỗ,cūlǔ,他是个火性人，说话粗鲁，你别介意。,"nó là một người nóng tính, nói năng thô lỗ, anh đừng để bụng."
狗,chó,gǒu,狗不拉屎，鸟不生蛋的地方。,"đồng khô cỏ cháy; vùng khô cằn sỏi đá; vùng chó ăn đá, gà ăn sỏi; vùng chó ăn đất, gà ăn muối."
工厂,nhà máy,gōngchǎng,,
暧昧,"mập mờ, mờ ám",àimèi,关系暧昧。,quan hệ ám muội
预言,lời tiên tri,yùyán,科学家预言人类在征服宇宙方面将有新的突破。,"các nhà khoa học tiên đoán, trong tương lai sự chinh phục vũ trụ của con người có những bước đột phá mới."
餐厅,nhà hàng,cāntīng,,
考古,khảo cổ học,kǎogǔ,,
增加,tăng thêm,zēngjiā,增加品种,tăng thêm nhiều chủng loại sản phẩm
系,"thắt, buộc, cài, đeo",xì,系鞋带。,thắt dây giầy.
打猎,săn bắn,dǎliè,,
咬牙切齿,nghiến răng nghiến lợi,yǎoyáqièchǐ,,
兔子,con thỏ,tùzǐ,,
分散,"phân tán, phân chia",fēnsàn,分散活动。,hoạt động phân tán
汉语,tiếng trung,hànyǔ,汉语字处理,soạn thảo văn bản tiếng Hoa
章程,"chương trình, điều lệ",zhāngchéng,,
双胞胎,anh em sinh đôi,shuāngbāotāi,,
解除,"bỏ, xua tan, giải trừ",jiěchú,解除顾虑。,xua tan nỗi lo buồn.
东道主,chủ nhà,dōngdàozhǔ,,
劝,khuyên,quàn,规劝。,khuyên bảo.
高速公路,đường cao tốc,gāosù gōnglù,,
怀念,"hoài niệm, nhớ nhung",huáiniàn,怀念故乡,nhớ cố hương
整理,"thu xếp, chỉnh lý",zhěnglǐ,整理行装,thu xếp hành trang
拧,"vặn, vắt",níng,拧手巾。,vắt khô khăn mặt.
岛屿,quần đảo,dǎoyǔ,,
财务,tài vụ,cáiwù,财务处。,phòng tài vụ
插,cắm,chā,插 秧。,cấy mạ.
小,nhỏ,xiǎo,小 河。,dòng sông nhỏ.
抵抗,"chống lại, đề kháng, chống cự",dǐkàng,奋力抵抗,ra sức chống cự
网球,quần vợt,wǎngqiú,,
集中,tập trung,jízhōng,集中优势兵力，各个歼灭敌人。,"tập trung binh lực lại, tiêu diệt địch từng bộ phận một."
疏忽,sơ suất,shūhū,疏忽职守。,làm việc qua quýt.
宪法,hiến pháp,xiànfǎ,,
探讨,thăm dò,tàntǎo,探讨哲学问题,thảo luận nghiên cứu về vấn đề Triết học.
咱们,chúng ta,zánmen,咱们是一家人。,chúng ta là người một nhà.
大不了,"chẳng qua, chỉ là",dàbùliǎo,赶不上车，大不了走回去就是了。,"nếu trễ xe, chẳng qua chỉ đi bộ là cùng."
饥饿,đói,jī'è,,
亲戚,họ hàng,qīnqi,一门亲戚。,một nhà thông gia.
饲养,chăn nuôi,sìyǎng,饲养员。,nhân viên chăn nuôi.
是,"là, vâng",shì,一无是处。,không chỗ nào đúng.
夫人,"phu nhân, vợ",fūrén,,
失业,thất nghiệp,shīyè,,
捎,"mang hộ, mang giùm",shāo,捎封信。,tiện thể mang theo thư.
施加,"gây, làm (áp lực, ảnh hưởng)",shījiā,,
学期,học kỳ,xuéqí,,
明白,hiểu,míngbái,她讲得十分明白。,cô ấy giảng giải rất là rõ ràng dễ hiểu.
宽敞,rộng lớn,kuānchang,这 间屋子很宽敞。,căn nhà này rất rộng lớn.
小气,,xiǎoqì,,
打扫,quét dọn,dǎsǎo,打扫院子,quét sân
天空,bầu trời,tiānkōng,仰望天空,ngửa mặt trông lên bầu trời; ngẩng đầu lên nhìn trời.
岗位,"cương vị, vị trí công tác",gǎngwèi,坚守工作岗位。,giữ vững cương vị công tác.
陪,"hộ tống, đi cùng",péi,失陪。,"thất lễ (lời nói khách sáo, không đi cùng được)."
传真,máy fax,chuánzhēn,,
同意,đồng ý,tóngyì,我的意见你同意吗?,ý kiến của tôi anh đồng ý không?
饱经沧桑,"thế sự xoay vần, bãi bể nương dâu",bǎojīngcāngsāng,,
动画片,hoạt hình,dònghuà piàn,,
举办,"tổ chức,cử hành",jǔbàn,举办展览会。,tổ chức triển lãm.
潮湿,ẩm ướt,cháoshī,雨后新晴的原野，潮湿而滋润。,cánh đồng vừa tạnh mưa ẩm ướt và xâm xấp nước.
球迷,người hâm mộ,qiúmí,,
外行,"người ngoài nghề, tay ngang",wàiháng,种庄稼他可不外行。,làm nghề nông anh ấy đâu có xa lạ.
